company_name,cik,source_record_id,address_street,address_city,address_state,address_zip,address_country,source_name,website_url,contact_name,contact_email,phone,notes
HELICAL BIOSCIENCES LLC,,1R41NS145857-01,,Saint Louis,MO,63110,,NIH RePORTER API,,Paul T Kotzbauer,,,
"GLYCYX MOR, INC.",,1R44CA306565-01,,San Francisco,CA,941212028,,NIH RePORTER API,,Lorin K Johnson,,,
"SALUS DISCOVERY, LLC",,4R44AI184104-02,,Madison,WI,537034222,,NIH RePORTER API,,Cody  Carrell,,,
"O2M TECHNOLOGIES, LLC",,1R44CA302113-01A1,,Chicago,IL,606123738,,NIH RePORTER API,,Boris  Epel,,,
"PENDERIA TECHNOLOGIES, INC.",,1R43AR086046-01,,Eugene,OR,974036205,,NIH RePORTER API,,Kylie E Williams,,,
"EVOQ THERAPEUTICS, INC.",,1R44AI192013-01,,Ann Arbor,MI,481095001,,NIH RePORTER API,,Weston  Daniel,,,
"BEDROCK THERAPEUTICS, INC.",,1R41AR086050-01A1,,Chapel Hill,NC,275143621,,NIH RePORTER API,,Chengwen  Li,,,
"SEAK THERAPEUTICS, LLC",,1R41CA310186-01,,Memphis,TN,38163,,NIH RePORTER API,,Wei  Li,,,
"IN VIVO MICROSYSTEMS TECHNOLOGIES, LLC",,1R44DK143865-01,,Ann Arbor,MI,481039486,,NIH RePORTER API,,Elaine  Brady,,,
"FLEX ORTHOPAEDICS, INC.",,1R41AR086074-01,,Calabasas,CA,913012306,,NIH RePORTER API,,Brandon  Peterson,,,
"RIPPLE BIOSCIENCES, LLC",,1R41HD118840-01A1,,Grosse Pointe Park,MI,482301818,,NIH RePORTER API,,J. Richard  Pilsner,,,
"PROKARYOTICS, INC.",,1R44AI188848-01A1,,Union,NJ,070837133,,NIH RePORTER API,,Terry  Roemer,,,
"NAVIGATION SCIENCES, INC.",,1R41CA306611-01,,Brookline,MA,024454167,,NIH RePORTER API,,Jayender  Jagadeesan,,,
"LIFEPHARMS, INC.",,1R43AI188858-01,,New London,CT,063204930,,NIH RePORTER API,,Esteban Edward Mena,,,
"KDH RESEARCH AND COMMUNICATION, INC.",,1R43MD018555-01A1,,Atlanta,GA,30309,,NIH RePORTER API,,Mary S Dolan,,,
"FUSION ENERGY SOLUTIONS, INC. D/B/A SERVA ENERGY",,1R44CA295134-01A1,,Tempe,AZ,852821923,,NIH RePORTER API,,Ian  Horvath,,,
PEARL SCIENTIFIC LLC,,1R41CA306717-01,,Denver,CO,802201233,,NIH RePORTER API,,Traci  Lyons,,,
"NIGHTSTAR BIOTECHNOLOGIES, INC",,1R41CA302099-01A1,,Houston,TX,770023168,,NIH RePORTER API,,Tao  Wang,,,
RUSH RIVER RESEARCH CORPORATION,,2R44MD018239-02A1,,Ellsworth,WI,540115807,,NIH RePORTER API,,Julie  Lundstrom,,,
"VIA THERAPEUTICS, LLC",,1R41AI195081-01,,Austin,TX,787501504,,NIH RePORTER API,,Zachary N Warnken,,,
"NAVEGA THERAPEUTICS, INC.",,1R43AR086088-01A1,,San Diego,CA,921211126,,NIH RePORTER API,,Yanmei  Qi,,,
"AEROCYTEK, INC.",,1R43CA298530-01,,San Diego,CA,921272139,,NIH RePORTER API,,Yu-Tsueng  Liu,,,
"BIOTEX, INC.",,1R44CA302219-01,,Houston,TX,770451507,,NIH RePORTER API,,Ashok  Gowda,,,
"INTRA THERAPEUTICS, LLC",,1R41CA306678-01,,Cary,NC,275197713,,NIH RePORTER API,,David  Zaharoff,,,
POPCOM HEALTH INC,,1R41MD020611-01A1,,Medford,MA,021554402,,NIH RePORTER API,,May May  Leung,,,
SAFEGUARD SURGICAL LLC,,1R43CA306785-01,,Tampa,FL,336062908,,NIH RePORTER API,,Scott  Kelley,,,
AMAHEALTH LLC,,1R41HD117576-01A1,,Tucson,AZ,857498113,,NIH RePORTER API,,Chinmai  Basavaraj,,,
"WATERSHED MEDICAL, INC",,1R43DK143818-01,,Bellevue,WA,980043432,,NIH RePORTER API,,Christopher  Kinsella,,,
MAE HEALTH INC,,1R43MD020238-01A1,,Brooklyn,NY,112382209,,NIH RePORTER API,,Courtney  Webster,,,
"MICROVASCULAR TISSUES, INC.",,1R43DK142592-01A1,,Jamaica Plain,MA,021302711,,NIH RePORTER API,,Douglas  Arm,,,
